equipment_id,test_id,test_name,start,end
setup_sofia_3,mwcu_a7_6_P-03-E_seq9,P-03-E,2027-06-02T00:00:00,2027-07-05T00:00:00
setup_sofia_3,mwcu_b10_2.1_P-02-L_seq9,P-02-L,2027-07-19T00:00:00,2027-07-25T00:00:00
setup_sofia_3,mwcu_b10_3_L-03_seq7,L-03,2027-09-06T00:00:00,2027-10-28T00:00:00
setup_sofia_3,mwcu_a7_3_P-02_seq10,P-02,2027-11-04T00:00:00,2027-11-10T00:00:00
setup_sofia_3,mwcu_a7_2.1_P-03_seq18,P-03,2027-11-18T00:00:00,2027-12-21T00:00:00
setup_sofia_3,mwcu_a7_7_L-02_seq9,L-02,2027-12-25T00:00:00,2028-03-18T00:00:00
setup_sofia_3,mwcu_b10_7_P-03_seq10,P-03,2028-03-25T00:00:00,2028-04-27T00:00:00
setup_sofia_3,mwcu_b10_3_P-04_seq17,P-04,2028-06-01T00:00:00,2028-06-17T00:00:00
setup_sofia_4,mwcu_b10_2.2_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_sofia_4,mwcu_a7_3_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_sofia_4,mwcu_a7_2.2_K-04_seq3,K-04,2027-01-18T00:00:00,2027-01-26T00:00:00
setup_sofia_4,mwcu_b10_2.2_P-03_seq4,P-03,2027-01-26T00:00:00,2027-02-28T00:00:00
setup_sofia_4,mwcu_b10_2.2_K-02_seq5,K-02,2027-02-28T00:00:00,2027-03-16T00:00:00
setup_sofia_4,mwcu_a7_2.2_K-05_seq6,K-05,2027-03-16T00:00:00,2027-04-27T00:00:00
setup_sofia_4,mwcu_b10_5_P-03_seq6,P-03,2027-05-22T00:00:00,2027-06-24T00:00:00
setup_sofia_4,mwcu_b10_3_L-03_seq5,L-03,2027-07-03T00:00:00,2027-08-24T00:00:00
setup_sofia_4,mwcu_b10_7_L-02_seq7,L-02,2027-09-06T00:00:00,2027-11-29T00:00:00
setup_sofia_4,mwcu_a7_5_Leak_seq10,Leak,2027-12-12T00:00:00,2027-12-15T00:00:00
setup_sofia_4,mwcu_a7_5a_P-02-L_seq1,P-02-L,2027-12-15T00:00:00,2027-12-21T00:00:00
setup_sofia_4,mwcu_a7_5a_K-14_seq2,K-14,2027-12-21T00:00:00,2028-01-20T00:00:00
setup_sofia_4,mwcu_a7_5a_Leak_seq3,Leak,2028-01-20T00:00:00,2028-01-23T00:00:00
setup_sofia_4,mwcu_b10_5b_P-04_seq2,P-04,2028-02-12T00:00:00,2028-02-28T00:00:00
setup_sofia_4,mwcu_b10_7_L-02_seq11,L-02,2028-04-27T00:00:00,2028-07-20T00:00:00
setup_sofia_5,mwcu_a7_7_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_sofia_5,mwcu_b10_4_K-01_seq2,K-01,2027-01-17T00:00:00,2027-01-21T00:00:00
setup_sofia_5,mwcu_b10_5_K-01_seq4,K-01,2027-01-21T00:00:00,2027-01-25T00:00:00
setup_sofia_5,mwcu_a7_6_Leak_seq1,Leak,2027-01-25T00:00:00,2027-01-28T00:00:00
setup_sofia_5,mwcu_a7_6_K-01_seq2,K-01,2027-01-28T00:00:00,2027-02-01T00:00:00
setup_sofia_5,mwcu_b10_6_K-10_seq4,K-10,2027-02-20T00:00:00,2027-02-26T00:00:00
setup_sofia_5,mwcu_b10_7_L-02_seq5,L-02,2027-03-08T00:00:00,2027-05-31T00:00:00
setup_sofia_5,mwcu_b10_6_P-03-E_seq9,P-03-E,2027-05-31T00:00:00,2027-07-03T00:00:00
setup_sofia_5,mwcu_b10_6_P-04_seq10,P-04,2027-07-03T00:00:00,2027-07-19T00:00:00
setup_sofia_5,mwcu_b10_5_C-01_seq9,C-01,2027-08-02T00:00:00,2027-08-27T00:00:00
setup_sofia_5,mwcu_b10_5a_P-02-L_seq1,P-02-L,2027-08-30T00:00:00,2027-09-05T00:00:00
setup_sofia_5,mwcu_b10_2.2_P-03-L_seq7,P-03-L,2027-09-13T00:00:00,2027-10-16T00:00:00
setup_sofia_5,mwcu_b10_2.2_K-06_seq8,K-06,2027-10-16T00:00:00,2027-11-01T00:00:00
setup_sofia_5,mwcu_b10_2.2_P-02-L_seq9,P-02-L,2027-11-01T00:00:00,2027-11-07T00:00:00
setup_sofia_5,mwcu_b10_5b_P-03-E_seq1,P-03-E,2027-11-08T00:00:00,2027-12-11T00:00:00
setup_sofia_5,mwcu_b10_2.2_P-03-L_seq12,P-03-L,2028-01-10T00:00:00,2028-02-12T00:00:00
setup_sofia_5,mwcu_b10_2.1_K-10_seq22,K-10,2028-02-21T00:00:00,2028-02-27T00:00:00
setup_sofia_5,mwcu_a7_2.1_K-12_seq26,K-12,2028-03-13T00:00:00,2028-04-07T00:00:00
setup_sofia_5,mwcu_b10_3_P-03-E_seq15,P-03-E,2028-04-26T00:00:00,2028-05-29T00:00:00
setup_sofia_5,mwcu_a7_3_P-04_seq17,P-04,2028-06-01T00:00:00,2028-06-17T00:00:00
setup_sofia_5,mwcu_b10_2.2_Leak_seq20,Leak,2028-06-25T00:00:00,2028-06-28T00:00:00
setup_sofia_5,mwcu_b10_2.1_Leak_seq30,Leak,2028-07-16T00:00:00,2028-07-19T00:00:00
setup_sofia_5,mwcu_a7_7_P-04_seq16,P-04,2028-10-06T00:00:00,2028-10-22T00:00:00
setup_sofia_6,mwcu_b10_7_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_sofia_6,mwcu_b10_3_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_sofia_6,mwcu_b10_3_K-02_seq3,K-02,2027-01-18T00:00:00,2027-02-03T00:00:00
setup_sofia_6,mwcu_a7_3_P-03_seq4,P-03,2027-03-01T00:00:00,2027-04-03T00:00:00
setup_sofia_6,mwcu_b10_5_P-03_seq5,P-03,2027-04-19T00:00:00,2027-05-22T00:00:00
setup_sofia_6,mwcu_a7_3_P-02_seq6,P-02,2027-05-26T00:00:00,2027-06-01T00:00:00
setup_sofia_6,mwcu_a7_3_L-03_seq7,L-03,2027-06-01T00:00:00,2027-07-23T00:00:00
setup_sofia_6,mwcu_a7_3_P-02_seq8,P-02,2027-07-23T00:00:00,2027-07-29T00:00:00
setup_sofia_6,mwcu_a7_3_L-03_seq9,L-03,2027-09-13T00:00:00,2027-11-04T00:00:00
setup_sofia_6,mwcu_b10_2.2_K-09_seq10,K-09,2027-11-07T00:00:00,2027-11-28T00:00:00
setup_sofia_6,mwcu_b10_2.1_P-03_seq18,P-03,2027-12-12T00:00:00,2028-01-14T00:00:00
setup_sofia_6,mwcu_b10_2.1_M-03_seq20,M-03,2028-01-30T00:00:00,2028-02-15T00:00:00
setup_sofia_6,mwcu_a7_2.1_P-02-L_seq25,P-02-L,2028-02-15T00:00:00,2028-02-21T00:00:00
setup_sofia_6,mwcu_a7_3_P-02_seq12,P-02,2028-03-02T00:00:00,2028-03-08T00:00:00
setup_sofia_6,mwcu_b10_2.1_K-11_seq24,K-11,2028-04-15T00:00:00,2028-04-21T00:00:00
