fte_id,test_id,test_name,start,end
fte_sofia_3,mwcu_a7_5_Leak_seq1,Leak,2027-07-20T00:00:00,2027-07-23T00:00:00
fte_sofia_3,mwcu_b10_5_Leak_seq1,Leak,2027-07-23T00:00:00,2027-07-26T00:00:00
fte_sofia_3,mwcu_b10_5_K-01_seq2,K-01,2027-07-26T00:00:00,2027-07-29T00:00:00
fte_sofia_3,mwcu_a7_6_Leak_seq8,Leak,2027-07-29T00:00:00,2027-08-01T00:00:00
fte_sofia_3,dcc_21a_6_Leak_seq8,Leak,2027-08-01T00:00:00,2027-08-04T00:00:00
fte_sofia_3,mwcu_b10_5_P-03_seq3,P-03,2027-09-06T00:00:00,2027-10-04T00:00:00
fte_sofia_3,mwcu_b10_4_P-03_seq3,P-03,2027-10-04T00:00:00,2027-11-01T00:00:00
fte_sofia_3,mwcu_a7_4_P-03_seq3,P-03,2027-11-01T00:00:00,2027-11-29T00:00:00
fte_sofia_3,mwcu_b10_6_K-12_seq7,K-12,2027-11-29T00:00:00,2027-12-20T00:00:00
fte_sofia_3,dcc_21a_4_P-03_seq3,P-03,2028-01-10T00:00:00,2028-02-07T00:00:00
fte_sofia_3,mwcu_a7_2b_P-03-E_seq1,P-03-E,2028-02-07T00:00:00,2028-03-06T00:00:00
fte_sofia_3,mwcu_a7_2a_P-02-L_seq4,P-02-L,2028-03-06T00:00:00,2028-03-11T00:00:00
fte_sofia_3,mwcu_b10_2a_K-10_seq5,K-10,2028-03-11T00:00:00,2028-03-16T00:00:00
fte_sofia_3,mwcu_a7_2a_K-10_seq5,K-10,2028-03-16T00:00:00,2028-03-21T00:00:00
fte_sofia_3,mwcu_b10_2a_P-02-L_seq6,P-02-L,2028-03-21T00:00:00,2028-03-26T00:00:00
fte_sofia_3,dcc_21a_5_C-01_seq6,C-01,2028-03-26T00:00:00,2028-04-16T00:00:00
fte_sofia_3,dcc_21a_3_P-03_seq13,P-03,2028-04-16T00:00:00,2028-05-14T00:00:00
fte_sofia_3,mwcu_a7_2a_K-12_seq9,K-12,2028-05-14T00:00:00,2028-06-04T00:00:00
fte_sofia_3,mwcu_a7_5_P-02_seq5,P-02,2028-06-04T00:00:00,2028-06-09T00:00:00
fte_sofia_3,mwcu_a7_5_C-01_seq6,C-01,2028-06-09T00:00:00,2028-06-30T00:00:00
fte_sofia_3,mwcu_a7_5_Leak_seq7,Leak,2028-06-30T00:00:00,2028-07-03T00:00:00
fte_sofia_3,mwcu_a7_5_P-02-L_seq8,P-02-L,2028-07-03T00:00:00,2028-07-08T00:00:00
fte_sofia_3,mwcu_a7_5_K-14_seq9,K-14,2028-07-08T00:00:00,2028-08-02T00:00:00
fte_sofia_3,mwcu_a7_5_Leak_seq10,Leak,2028-08-02T00:00:00,2028-08-05T00:00:00
fte_sofia_3,dcc_21a_2a_K-02_seq11,K-02,2028-09-04T00:00:00,2028-09-18T00:00:00
fte_sofia_3,mwcu_b10_4_P-03-E_seq6,P-03-E,2028-09-18T00:00:00,2028-10-16T00:00:00
fte_sofia_3,mwcu_b10_3_P-03-E_seq15,P-03-E,2028-10-16T00:00:00,2028-11-13T00:00:00
fte_sofia_3,mwcu_a7_3_P-03-E_seq15,P-03-E,2028-11-13T00:00:00,2028-12-11T00:00:00
fte_sofia_3,dcc_21a_4_Leakage_seq5,Leakage,2028-12-11T00:00:00,2028-12-18T00:00:00
fte_sofia_3,dcc_21a_2b_HV S_seq2,HV S,2029-01-01T00:00:00,2029-01-15T00:00:00
fte_sofia_3,mwcu_a7_2a_P-03-E_seq12,P-03-E,2029-01-15T00:00:00,2029-02-12T00:00:00
fte_sofia_3,mwcu_b10_5_P-03-E_seq11,P-03-E,2029-02-12T00:00:00,2029-03-12T00:00:00
fte_sofia_3,mwcu_a7_6_P-04_seq10,P-04,2029-03-12T00:00:00,2029-03-26T00:00:00
fte_sofia_4,dcc_21a_6_Leak_seq1,Leak,2026-08-31T00:00:00,2026-09-03T00:00:00
fte_sofia_4,mwcu_a7_6_K-01_seq2,K-01,2026-09-03T00:00:00,2026-09-06T00:00:00
fte_sofia_4,mwcu_b10_6_P-03_seq3,P-03,2026-09-06T00:00:00,2026-10-04T00:00:00
fte_sofia_4,dcc_21a_6_K-10_seq4,K-10,2026-10-04T00:00:00,2026-10-09T00:00:00
fte_sofia_4,mwcu_b10_6_K-10_seq4,K-10,2026-10-09T00:00:00,2026-10-14T00:00:00
fte_sofia_4,mwcu_a7_6_K-10_seq4,K-10,2026-10-14T00:00:00,2026-10-19T00:00:00
fte_sofia_4,dcc_21a_6_K-11_seq5,K-11,2026-10-19T00:00:00,2026-10-24T00:00:00
fte_sofia_4,mwcu_a7_6_K-11_seq5,K-11,2026-10-24T00:00:00,2026-10-29T00:00:00
fte_sofia_4,mwcu_b10_3_Leak_seq1,Leak,2026-10-29T00:00:00,2026-11-01T00:00:00
fte_sofia_4,mwcu_a7_3_Leak_seq1,Leak,2026-11-01T00:00:00,2026-11-04T00:00:00
